records=729664 n=11008 data_width=4 naive_up_ns=13260418560 naive_down_ns=15060264960 (naive_up_rows=110503488 naive_down_rows=125502208)
oracle: up_ns=2235722880 (up_rows=18631024) down_ns=1499729084 (down_rows=13332696 down_chunks=753098108)
per-token latency (config 'distributed span=8 staggered+clustered', 22802 tokens): P50=451516ns P95=719152ns P99=787016ns mean=459731ns
gpu@1008GB/s: dense_ns=261108339769 sparse_ideal_ns=24446094133 | pim_naive_ns=28320683520 pim_best_ns=10482793300 | pim_best vs gpu_dense=24.908x vs gpu_sparse=2.332x
async only (modulo, no remap): up_ns=6323548800 (speedup=2.097x) down_ns_skip=8853842200 down_ns_full=13933862880 (speedup=1.701x, subrow_gain=1.574x) [up_rows=52696240 down_rows=116115524 down_chunks_skip=2351372856 down_chunks_full=7431393536]
async + random remap: up_ns=6328752000 (speedup=2.095x) down_ns_skip=8853842200 down_ns_full=13933862880 (speedup=1.701x, subrow_gain=1.574x) [up_rows=52739600 down_rows=116115524 down_chunks_skip=2351372856 down_chunks_full=7431393536]
non-distributed async: up_ns=5882300160 (speedup=2.254x) down_ns_skip=8853842200 down_ns_full=13933862880 (speedup=1.701x, subrow_gain=1.574x) [up_rows=49019168 down_rows=116115524 down_chunks_skip=2351372856 down_chunks_full=7431393536]
non-distributed + down-clustered: up_ns=5882300160 (speedup=2.254x) down_ns_skip=7997421220 down_ns_full=12723588960 (speedup=1.883x, subrow_gain=1.591x) [up_rows=49019168 down_rows=106029908 down_chunks_skip=2059746372 down_chunks_full=6785914112]
distributed span=2 no-stagger: up_ns=4194163200 (speedup=3.162x) down_ns_skip=9104206392 down_ns_full=14349120960 (speedup=1.654x, subrow_gain=1.576x) [up_rows=34951360 down_rows=119576008 down_chunks_skip=2407949944 down_chunks_full=7652864512]
distributed span=2 staggered: up_ns=4194163200 (speedup=3.162x) down_ns_skip=8853842200 down_ns_full=13933862880 (speedup=1.701x, subrow_gain=1.574x) [up_rows=34951360 down_rows=116115524 down_chunks_skip=2351372856 down_chunks_full=7431393536]
distributed span=2 staggered+clustered: up_ns=4194163200 (speedup=3.162x) down_ns_skip=7997421220 down_ns_full=12723588960 (speedup=1.883x, subrow_gain=1.591x) [up_rows=34951360 down_rows=106029908 down_chunks_skip=2059746372 down_chunks_full=6785914112]
distributed span=4 no-stagger: up_ns=3140959200 (speedup=4.222x) down_ns_skip=9285889664 down_ns_full=14538929280 (speedup=1.622x, subrow_gain=1.566x) [up_rows=26174660 down_rows=121157744 down_chunks_skip=2501056000 down_chunks_full=7754095616]
distributed span=4 staggered: up_ns=3140959200 (speedup=4.222x) down_ns_skip=8853842200 down_ns_full=13933862880 (speedup=1.701x, subrow_gain=1.574x) [up_rows=26174660 down_rows=116115524 down_chunks_skip=2351372856 down_chunks_full=7431393536]
distributed span=4 staggered+clustered: up_ns=3140959200 (speedup=4.222x) down_ns_skip=7997421220 down_ns_full=12723588960 (speedup=1.883x, subrow_gain=1.591x) [up_rows=26174660 down_rows=106029908 down_chunks_skip=2059746372 down_chunks_full=6785914112]
distributed span=8 no-stagger: up_ns=2485372080 (speedup=5.335x) down_ns_skip=10261790720 down_ns_full=16040893440 (speedup=1.468x, subrow_gain=1.563x) [up_rows=20711434 down_rows=133674112 down_chunks_skip=2776040448 down_chunks_full=8555143168]
distributed span=8 staggered: up_ns=2485372080 (speedup=5.335x) down_ns_skip=8853842200 down_ns_full=13933862880 (speedup=1.701x, subrow_gain=1.574x) [up_rows=20711434 down_rows=116115524 down_chunks_skip=2351372856 down_chunks_full=7431393536]
distributed span=8 staggered+clustered: up_ns=2485372080 (speedup=5.335x) down_ns_skip=7997421220 down_ns_full=12723588960 (speedup=1.883x, subrow_gain=1.591x) [up_rows=20711434 down_rows=106029908 down_chunks_skip=2059746372 down_chunks_full=6785914112]
