records=729664 n=11008 data_width=4 naive_up_ns=15410463360 naive_down_ns=15060264960 (naive_up_rows=128420528 naive_down_rows=125502208)
oracle: up_ns=3945454080 (up_rows=32878784) down_ns=3193815432 (down_rows=27378636 down_chunks=1660611816)
per-token latency (config 'distributed span=8 staggered+clustered', 22802 tokens): P50=705716ns P95=749340ns P99=772820ns mean=707832ns
gpu@1008GB/s: dense_ns=261108339769 sparse_ideal_ns=53947491156 | pim_naive_ns=30470728320 pim_best_ns=16139993308 | pim_best vs gpu_dense=16.178x vs gpu_sparse=3.342x
async only (modulo, no remap): up_ns=9948393600 (speedup=1.549x) down_ns_skip=11846188332 down_ns_full=15060263520 (speedup=1.271x, subrow_gain=1.271x) [up_rows=82903280 down_rows=125502196 down_chunks_skip=4818065356 down_chunks_full=8032140544]
async + random remap: up_ns=9959043840 (speedup=1.547x) down_ns_skip=11846188332 down_ns_full=15060263520 (speedup=1.271x, subrow_gain=1.271x) [up_rows=82992032 down_rows=125502196 down_chunks_skip=4818065356 down_chunks_full=8032140544]
non-distributed async: up_ns=9443504640 (speedup=1.632x) down_ns_skip=11846188332 down_ns_full=15060263520 (speedup=1.271x, subrow_gain=1.271x) [up_rows=78695872 down_rows=125502196 down_chunks_skip=4818065356 down_chunks_full=8032140544]
non-distributed + down-clustered: up_ns=9443504640 (speedup=1.632x) down_ns_skip=11363845468 down_ns_full=15021357600 (speedup=1.325x, subrow_gain=1.322x) [up_rows=78695872 down_rows=125177980 down_chunks_skip=4353878588 down_chunks_full=8011390720]
distributed span=2 no-stagger: up_ns=7202113920 (speedup=2.140x) down_ns_skip=12124924352 down_ns_full=15410425920 (speedup=1.242x, subrow_gain=1.271x) [up_rows=60017616 down_rows=128420216 down_chunks_skip=4933392256 down_chunks_full=8218893824]
distributed span=2 staggered: up_ns=7202113920 (speedup=2.140x) down_ns_skip=11846188332 down_ns_full=15060263520 (speedup=1.271x, subrow_gain=1.271x) [up_rows=60017616 down_rows=125502196 down_chunks_skip=4818065356 down_chunks_full=8032140544]
distributed span=2 staggered+clustered: up_ns=7202113920 (speedup=2.140x) down_ns_skip=11363845468 down_ns_full=15021357600 (speedup=1.325x, subrow_gain=1.322x) [up_rows=60017616 down_rows=125177980 down_chunks_skip=4353878588 down_chunks_full=8011390720]
distributed span=4 no-stagger: up_ns=5729039040 (speedup=2.690x) down_ns_skip=12247170496 down_ns_full=15410503680 (speedup=1.230x, subrow_gain=1.258x) [up_rows=47741992 down_rows=128420864 down_chunks_skip=5055602112 down_chunks_full=8218935296]
distributed span=4 staggered: up_ns=5729039040 (speedup=2.690x) down_ns_skip=11846188332 down_ns_full=15060263520 (speedup=1.271x, subrow_gain=1.271x) [up_rows=47741992 down_rows=125502196 down_chunks_skip=4818065356 down_chunks_full=8032140544]
distributed span=4 staggered+clustered: up_ns=5729039040 (speedup=2.690x) down_ns_skip=11363845468 down_ns_full=15021357600 (speedup=1.325x, subrow_gain=1.322x) [up_rows=47741992 down_rows=125177980 down_chunks_skip=4353878588 down_chunks_full=8011390720]
distributed span=8 no-stagger: up_ns=4776147840 (speedup=3.227x) down_ns_skip=13416941024 down_ns_full=16811458560 (speedup=1.122x, subrow_gain=1.253x) [up_rows=39801232 down_rows=140095488 down_chunks_skip=5571593696 down_chunks_full=8966111232]
distributed span=8 staggered: up_ns=4776147840 (speedup=3.227x) down_ns_skip=11846188332 down_ns_full=15060263520 (speedup=1.271x, subrow_gain=1.271x) [up_rows=39801232 down_rows=125502196 down_chunks_skip=4818065356 down_chunks_full=8032140544]
distributed span=8 staggered+clustered: up_ns=4776147840 (speedup=3.227x) down_ns_skip=11363845468 down_ns_full=15021357600 (speedup=1.325x, subrow_gain=1.322x) [up_rows=39801232 down_rows=125177980 down_chunks_skip=4353878588 down_chunks_full=8011390720]
