records=707936 n=14336 data_width=2 naive_up_ns=9504346560 naive_down_ns=9514659840 (naive_up_rows=79202888 naive_down_rows=79288832)
oracle: up_ns=2491449600 (up_rows=20762080) down_ns=2245895192 (down_rows=19461140 down_chunks=1156071352)
per-token latency (config 'distributed span=8 staggered+clustered', 22123 tokens): P50=488036ns P95=522788ns P99=532208ns mean=488047ns
gpu@1008GB/s: dense_ns=164961044236 sparse_ideal_ns=37541209473 | pim_naive_ns=19019006400 pim_best_ns=10797071932 | pim_best vs gpu_dense=15.278x vs gpu_sparse=3.477x
async only (modulo, no remap): up_ns=5668729920 (speedup=1.677x) down_ns_skip=8382725944 down_ns_full=9512732160 (speedup=1.135x, subrow_gain=1.135x) [up_rows=47239416 down_rows=79272768 down_chunks_skip=3943450936 down_chunks_full=5073457152]
async + random remap: up_ns=5967502080 (speedup=1.593x) down_ns_skip=8382725944 down_ns_full=9512732160 (speedup=1.135x, subrow_gain=1.135x) [up_rows=49729184 down_rows=79272768 down_chunks_skip=3943450936 down_chunks_full=5073457152]
non-distributed async: up_ns=5340471360 (speedup=1.780x) down_ns_skip=8382725944 down_ns_full=9512732160 (speedup=1.135x, subrow_gain=1.135x) [up_rows=44503928 down_rows=79272768 down_chunks_skip=3943450936 down_chunks_full=5073457152]
non-distributed + down-clustered: up_ns=5340471360 (speedup=1.780x) down_ns_skip=7797082252 down_ns_full=9427634880 (speedup=1.220x, subrow_gain=1.209x) [up_rows=44503928 down_rows=78563624 down_chunks_skip=3397519308 down_chunks_full=5028071936]
distributed span=2 no-stagger: up_ns=4211144160 (speedup=2.257x) down_ns_skip=8429224032 down_ns_full=9514645440 (speedup=1.129x, subrow_gain=1.129x) [up_rows=35092868 down_rows=79288712 down_chunks_skip=3989056160 down_chunks_full=5074477568]
distributed span=2 staggered: up_ns=4211144160 (speedup=2.257x) down_ns_skip=8382725944 down_ns_full=9512732160 (speedup=1.135x, subrow_gain=1.135x) [up_rows=35092868 down_rows=79272768 down_chunks_skip=3943450936 down_chunks_full=5073457152]
distributed span=2 staggered+clustered: up_ns=4211144160 (speedup=2.257x) down_ns_skip=7797082252 down_ns_full=9427634880 (speedup=1.220x, subrow_gain=1.209x) [up_rows=35092868 down_rows=78563624 down_chunks_skip=3397519308 down_chunks_full=5028071936]
distributed span=4 no-stagger: up_ns=3477335760 (speedup=2.733x) down_ns_skip=8517471696 down_ns_full=9514659840 (speedup=1.117x, subrow_gain=1.117x) [up_rows=28977798 down_rows=79288832 down_chunks_skip=4077297104 down_chunks_full=5074485248]
distributed span=4 staggered: up_ns=3477335760 (speedup=2.733x) down_ns_skip=8382725944 down_ns_full=9512732160 (speedup=1.135x, subrow_gain=1.135x) [up_rows=28977798 down_rows=79272768 down_chunks_skip=3943450936 down_chunks_full=5073457152]
distributed span=4 staggered+clustered: up_ns=3477335760 (speedup=2.733x) down_ns_skip=7797082252 down_ns_full=9427634880 (speedup=1.220x, subrow_gain=1.209x) [up_rows=28977798 down_rows=78563624 down_chunks_skip=3397519308 down_chunks_full=5028071936]
distributed span=8 no-stagger: up_ns=2999989680 (speedup=3.168x) down_ns_skip=9881239040 down_ns_full=10873896960 (speedup=0.963x, subrow_gain=1.100x) [up_rows=24999914 down_rows=90615808 down_chunks_skip=4806753792 down_chunks_full=5799411712]
distributed span=8 staggered: up_ns=2999989680 (speedup=3.168x) down_ns_skip=8382725944 down_ns_full=9512732160 (speedup=1.135x, subrow_gain=1.135x) [up_rows=24999914 down_rows=79272768 down_chunks_skip=3943450936 down_chunks_full=5073457152]
distributed span=8 staggered+clustered: up_ns=2999989680 (speedup=3.168x) down_ns_skip=7797082252 down_ns_full=9427634880 (speedup=1.220x, subrow_gain=1.209x) [up_rows=24999914 down_rows=78563624 down_chunks_skip=3397519308 down_chunks_full=5028071936]
