records=707936 n=14336 data_width=2 naive_up_ns=9511580160 naive_down_ns=9514659840 (naive_up_rows=79263168 naive_down_rows=79288832)
oracle: up_ns=2442124800 (up_rows=20351040) down_ns=2191241660 (down_rows=19005064 down_chunks=1126958076)
per-token latency (config 'distributed span=8 staggered+clustered', 22123 tokens): P50=474308ns P95=508232ns P99=521192ns mean=474471ns
gpu@1008GB/s: dense_ns=164961044236 sparse_ideal_ns=36594815149 | pim_naive_ns=19026240000 pim_best_ns=10496733472 | pim_best vs gpu_dense=15.715x vs gpu_sparse=3.486x
async only (modulo, no remap): up_ns=5596026240 (speedup=1.700x) down_ns_skip=8338843880 down_ns_full=9514582560 (speedup=1.141x, subrow_gain=1.141x) [up_rows=46633552 down_rows=79288188 down_chunks_skip=3898705352 down_chunks_full=5074444032]
async + random remap: up_ns=5891117760 (speedup=1.615x) down_ns_skip=8338843880 down_ns_full=9514582560 (speedup=1.141x, subrow_gain=1.141x) [up_rows=49092648 down_rows=79288188 down_chunks_skip=3898705352 down_chunks_full=5074444032]
non-distributed async: up_ns=5177851200 (speedup=1.837x) down_ns_skip=8338843880 down_ns_full=9514582560 (speedup=1.141x, subrow_gain=1.141x) [up_rows=43148760 down_rows=79288188 down_chunks_skip=3898705352 down_chunks_full=5074444032]
non-distributed + down-clustered: up_ns=5177851200 (speedup=1.837x) down_ns_skip=7576049752 down_ns_full=9346505760 (speedup=1.256x, subrow_gain=1.234x) [up_rows=43148760 down_rows=77887548 down_chunks_skip=3214347064 down_chunks_full=4984803072]
distributed span=2 no-stagger: up_ns=4089464160 (speedup=2.326x) down_ns_skip=8384029856 down_ns_full=9514639680 (speedup=1.135x, subrow_gain=1.135x) [up_rows=34078868 down_rows=79288664 down_chunks_skip=3943864672 down_chunks_full=5074474496]
distributed span=2 staggered: up_ns=4089464160 (speedup=2.326x) down_ns_skip=8338843880 down_ns_full=9514582560 (speedup=1.141x, subrow_gain=1.141x) [up_rows=34078868 down_rows=79288188 down_chunks_skip=3898705352 down_chunks_full=5074444032]
distributed span=2 staggered+clustered: up_ns=4089464160 (speedup=2.326x) down_ns_skip=7576049752 down_ns_full=9346505760 (speedup=1.256x, subrow_gain=1.234x) [up_rows=34078868 down_rows=77887548 down_chunks_skip=3214347064 down_chunks_full=4984803072]
distributed span=4 no-stagger: up_ns=3378403680 (speedup=2.815x) down_ns_skip=8469613568 down_ns_full=9514646400 (speedup=1.123x, subrow_gain=1.123x) [up_rows=28153364 down_rows=79288720 down_chunks_skip=4029445248 down_chunks_full=5074478080]
distributed span=4 staggered: up_ns=3378403680 (speedup=2.815x) down_ns_skip=8338843880 down_ns_full=9514582560 (speedup=1.141x, subrow_gain=1.141x) [up_rows=28153364 down_rows=79288188 down_chunks_skip=3898705352 down_chunks_full=5074444032]
distributed span=4 staggered+clustered: up_ns=3378403680 (speedup=2.815x) down_ns_skip=7576049752 down_ns_full=9346505760 (speedup=1.256x, subrow_gain=1.234x) [up_rows=28153364 down_rows=77887548 down_chunks_skip=3214347064 down_chunks_full=4984803072]
distributed span=8 no-stagger: up_ns=2920683720 (speedup=3.257x) down_ns_skip=9834620832 down_ns_full=10873881600 (speedup=0.967x, subrow_gain=1.106x) [up_rows=24339031 down_rows=90615680 down_chunks_skip=4760142752 down_chunks_full=5799403520]
distributed span=8 staggered: up_ns=2920683720 (speedup=3.257x) down_ns_skip=8338843880 down_ns_full=9514582560 (speedup=1.141x, subrow_gain=1.141x) [up_rows=24339031 down_rows=79288188 down_chunks_skip=3898705352 down_chunks_full=5074444032]
distributed span=8 staggered+clustered: up_ns=2920683720 (speedup=3.257x) down_ns_skip=7576049752 down_ns_full=9346505760 (speedup=1.256x, subrow_gain=1.234x) [up_rows=24339031 down_rows=77887548 down_chunks_skip=3214347064 down_chunks_full=4984803072]
