records=729664 n=11008 data_width=2 naive_up_ns=6630209280 naive_down_ns=7705251840 (naive_up_rows=55251744 naive_down_rows=64210432)
oracle: up_ns=1117861440 (up_rows=9315512) down_ns=798620384 (down_rows=7523884 down_chunks=377282880)
per-token latency (config 'distributed span=8 staggered+clustered', 22802 tokens): P50=253892ns P95=392816ns P99=421944ns mean=258405ns
gpu@1008GB/s: dense_ns=130554169874 sparse_ideal_ns=12223047052 | pim_naive_ns=14335461120 pim_best_ns=5892154540 | pim_best vs gpu_dense=22.157x vs gpu_sparse=2.074x
async only (modulo, no remap): up_ns=3161774400 (speedup=2.097x) down_ns_skip=5240629572 down_ns_full=7334528160 (speedup=1.470x, subrow_gain=1.400x) [up_rows=26348120 down_rows=61121068 down_chunks_skip=1817849764 down_chunks_full=3911748352]
async + random remap: up_ns=3164376000 (speedup=2.095x) down_ns_skip=5240629572 down_ns_full=7334528160 (speedup=1.470x, subrow_gain=1.400x) [up_rows=26369800 down_rows=61121068 down_chunks_skip=1817849764 down_chunks_full=3911748352]
non-distributed async: up_ns=2941150080 (speedup=2.254x) down_ns_skip=5240629572 down_ns_full=7334528160 (speedup=1.470x, subrow_gain=1.400x) [up_rows=24509584 down_rows=61121068 down_chunks_skip=1817849764 down_chunks_full=3911748352]
non-distributed + down-clustered: up_ns=2941150080 (speedup=2.254x) down_ns_skip=4649468500 down_ns_full=6729483840 (speedup=1.657x, subrow_gain=1.447x) [up_rows=24509584 down_rows=56079032 down_chunks_skip=1509042708 down_chunks_full=3589058048]
distributed span=2 no-stagger: up_ns=2097081600 (speedup=3.162x) down_ns_skip=5319789472 down_ns_full=7396714560 (speedup=1.448x, subrow_gain=1.390x) [up_rows=17475680 down_rows=61639288 down_chunks_skip=1867989344 down_chunks_full=3944914432]
distributed span=2 staggered: up_ns=2097081600 (speedup=3.162x) down_ns_skip=5240629572 down_ns_full=7334528160 (speedup=1.470x, subrow_gain=1.400x) [up_rows=17475680 down_rows=61121068 down_chunks_skip=1817849764 down_chunks_full=3911748352]
distributed span=2 staggered+clustered: up_ns=2097081600 (speedup=3.162x) down_ns_skip=4649468500 down_ns_full=6729483840 (speedup=1.657x, subrow_gain=1.447x) [up_rows=17475680 down_rows=56079032 down_chunks_skip=1509042708 down_chunks_full=3589058048]
distributed span=4 no-stagger: up_ns=1570479600 (speedup=4.222x) down_ns_skip=5833520288 down_ns_full=8128419840 (speedup=1.321x, subrow_gain=1.393x) [up_rows=13087330 down_rows=67736832 down_chunks_skip=2040257696 down_chunks_full=4335157248]
distributed span=4 staggered: up_ns=1570479600 (speedup=4.222x) down_ns_skip=5240629572 down_ns_full=7334528160 (speedup=1.470x, subrow_gain=1.400x) [up_rows=13087330 down_rows=61121068 down_chunks_skip=1817849764 down_chunks_full=3911748352]
distributed span=4 staggered+clustered: up_ns=1570479600 (speedup=4.222x) down_ns_skip=4649468500 down_ns_full=6729483840 (speedup=1.657x, subrow_gain=1.447x) [up_rows=13087330 down_rows=56079032 down_chunks_skip=1509042708 down_chunks_full=3589058048]
distributed span=8 no-stagger: up_ns=1242686040 (speedup=5.335x) down_ns_skip=6023350848 down_ns_full=8248773120 (speedup=1.279x, subrow_gain=1.369x) [up_rows=10355717 down_rows=68739776 down_chunks_skip=2173923392 down_chunks_full=4399345664]
distributed span=8 staggered: up_ns=1242686040 (speedup=5.335x) down_ns_skip=5240629572 down_ns_full=7334528160 (speedup=1.470x, subrow_gain=1.400x) [up_rows=10355717 down_rows=61121068 down_chunks_skip=1817849764 down_chunks_full=3911748352]
distributed span=8 staggered+clustered: up_ns=1242686040 (speedup=5.335x) down_ns_skip=4649468500 down_ns_full=6729483840 (speedup=1.657x, subrow_gain=1.447x) [up_rows=10355717 down_rows=56079032 down_chunks_skip=1509042708 down_chunks_full=3589058048]
