records=729664 n=11008 data_width=2 naive_up_ns=7705231680 naive_down_ns=7705251840 (naive_up_rows=64210264 naive_down_rows=64210432)
oracle: up_ns=1972727040 (up_rows=16439392) down_ns=1640468940 (down_rows=14454200 down_chunks=831033740)
per-token latency (config 'distributed span=8 staggered+clustered', 22802 tokens): P50=392124ns P95=411436ns P99=423368ns mean=392350ns
gpu@1008GB/s: dense_ns=130554169874 sparse_ideal_ns=26973745566 | pim_naive_ns=15410483520 pim_best_ns=8946383588 | pim_best vs gpu_dense=14.593x vs gpu_sparse=3.015x
async only (modulo, no remap): up_ns=4974196800 (speedup=1.549x) down_ns_skip=6954100036 down_ns_full=7705251360 (speedup=1.108x, subrow_gain=1.108x) [up_rows=41451640 down_rows=64210428 down_chunks_skip=3358316068 down_chunks_full=4109467392]
async + random remap: up_ns=4979521920 (speedup=1.547x) down_ns_skip=6954100036 down_ns_full=7705251360 (speedup=1.108x, subrow_gain=1.108x) [up_rows=41496016 down_rows=64210428 down_chunks_skip=3358316068 down_chunks_full=4109467392]
non-distributed async: up_ns=4721752320 (speedup=1.632x) down_ns_skip=6954100036 down_ns_full=7705251360 (speedup=1.108x, subrow_gain=1.108x) [up_rows=39347936 down_rows=64210428 down_chunks_skip=3358316068 down_chunks_full=4109467392]
non-distributed + down-clustered: up_ns=4721752320 (speedup=1.632x) down_ns_skip=6558309668 down_ns_full=7678768800 (speedup=1.175x, subrow_gain=1.171x) [up_rows=39347936 down_rows=63989740 down_chunks_skip=2974884228 down_chunks_full=4095343360]
distributed span=2 no-stagger: up_ns=3601056960 (speedup=2.140x) down_ns_skip=7031340792 down_ns_full=7705251840 (speedup=1.096x, subrow_gain=1.096x) [up_rows=30008808 down_rows=64210432 down_chunks_skip=3435556600 down_chunks_full=4109467648]
distributed span=2 staggered: up_ns=3601056960 (speedup=2.140x) down_ns_skip=6954100036 down_ns_full=7705251360 (speedup=1.108x, subrow_gain=1.108x) [up_rows=30008808 down_rows=64210428 down_chunks_skip=3358316068 down_chunks_full=4109467392]
distributed span=2 staggered+clustered: up_ns=3601056960 (speedup=2.140x) down_ns_skip=6558309668 down_ns_full=7678768800 (speedup=1.175x, subrow_gain=1.171x) [up_rows=30008808 down_rows=63989740 down_chunks_skip=2974884228 down_chunks_full=4095343360]
distributed span=4 no-stagger: up_ns=2864519520 (speedup=2.690x) down_ns_skip=7671776272 down_ns_full=8405729280 (speedup=1.004x, subrow_gain=1.096x) [up_rows=23870996 down_rows=70047744 down_chunks_skip=3749102608 down_chunks_full=4483055616]
distributed span=4 staggered: up_ns=2864519520 (speedup=2.690x) down_ns_skip=6954100036 down_ns_full=7705251360 (speedup=1.108x, subrow_gain=1.108x) [up_rows=23870996 down_rows=64210428 down_chunks_skip=3358316068 down_chunks_full=4109467392]
distributed span=4 staggered+clustered: up_ns=2864519520 (speedup=2.690x) down_ns_skip=6558309668 down_ns_full=7678768800 (speedup=1.175x, subrow_gain=1.171x) [up_rows=23870996 down_rows=63989740 down_chunks_skip=2974884228 down_chunks_full=4095343360]
distributed span=8 no-stagger: up_ns=2388073920 (speedup=3.227x) down_ns_skip=7805362976 down_ns_full=8405729280 (speedup=0.987x, subrow_gain=1.077x) [up_rows=19900616 down_rows=70047744 down_chunks_skip=3882689312 down_chunks_full=4483055616]
distributed span=8 staggered: up_ns=2388073920 (speedup=3.227x) down_ns_skip=6954100036 down_ns_full=7705251360 (speedup=1.108x, subrow_gain=1.108x) [up_rows=19900616 down_rows=64210428 down_chunks_skip=3358316068 down_chunks_full=4109467392]
distributed span=8 staggered+clustered: up_ns=2388073920 (speedup=3.227x) down_ns_skip=6558309668 down_ns_full=7678768800 (speedup=1.175x, subrow_gain=1.171x) [up_rows=19900616 down_rows=63989740 down_chunks_skip=2974884228 down_chunks_full=4095343360]
