records=707936 n=14336 weight_bits=4 naive_up_ns=2377895040 naive_down_ns=2378664960 (naive_up_rows=19815792 naive_down_rows=19822208)
oracle: up_ns=610531200 (up_rows=5087760) down_ns=605872600 (down_rows=5769104 down_chunks=282802776)
per-token latency (config 'distributed span=2 staggered+clustered', 22123 tokens): P50=145436ns P95=153912ns P99=156672ns mean=145444ns
gpu@1008GB/s: dense_ns=41240261046 sparse_ideal_ns=9148703768 | pim_naive_ns=4756560000 pim_best_ns=3217660588 | pim_best vs gpu_dense=12.817x vs gpu_sparse=2.843x
async only (modulo, no remap): up_ns=1399006560 (speedup=1.700x) down_ns_skip=2359714960 down_ns_full=2378661600 (speedup=1.008x, subrow_gain=1.008x) [up_rows=11658388 down_rows=19822180 down_chunks_skip=1249672880 down_chunks_full=1268619520]
async + random remap: up_ns=1472779440 (speedup=1.615x) down_ns_skip=2359714960 down_ns_full=2378661600 (speedup=1.008x, subrow_gain=1.008x) [up_rows=12273162 down_rows=19822180 down_chunks_skip=1249672880 down_chunks_full=1268619520]
non-distributed async: up_ns=1294462800 (speedup=1.837x) down_ns_skip=2359714960 down_ns_full=2378661600 (speedup=1.008x, subrow_gain=1.008x) [up_rows=10787190 down_rows=19822180 down_chunks_skip=1249672880 down_chunks_full=1268619520]
non-distributed + down-clustered: up_ns=1294462800 (speedup=1.837x) down_ns_skip=2195294548 down_ns_full=2372136960 (speedup=1.084x, subrow_gain=1.081x) [up_rows=10787190 down_rows=19767808 down_chunks_skip=1088297300 down_chunks_full=1265139712]
distributed span=2 no-stagger: up_ns=1022366040 (speedup=2.326x) down_ns_skip=2698100344 down_ns_full=2718470400 (speedup=0.882x, subrow_gain=1.008x) [up_rows=8519717 down_rows=22653920 down_chunks_skip=1429480824 down_chunks_full=1449850880]
distributed span=2 staggered: up_ns=1022366040 (speedup=2.326x) down_ns_skip=2359714960 down_ns_full=2378661600 (speedup=1.008x, subrow_gain=1.008x) [up_rows=8519717 down_rows=19822180 down_chunks_skip=1249672880 down_chunks_full=1268619520]
distributed span=2 staggered+clustered: up_ns=1022366040 (speedup=2.326x) down_ns_skip=2195294548 down_ns_full=2372136960 (speedup=1.084x, subrow_gain=1.081x) [up_rows=8519717 down_rows=19767808 down_chunks_skip=1088297300 down_chunks_full=1265139712]
distributed span=4 no-stagger: up_ns=1689201840 (speedup=1.408x) down_ns_skip=2707163248 down_ns_full=2718470400 (speedup=0.879x, subrow_gain=1.004x) [up_rows=14076682 down_rows=22653920 down_chunks_skip=1438543728 down_chunks_full=1449850880]
distributed span=4 staggered: up_ns=1689201840 (speedup=1.408x) down_ns_skip=2359714960 down_ns_full=2378661600 (speedup=1.008x, subrow_gain=1.008x) [up_rows=14076682 down_rows=19822180 down_chunks_skip=1249672880 down_chunks_full=1268619520]
distributed span=4 staggered+clustered: up_ns=1689201840 (speedup=1.408x) down_ns_skip=2195294548 down_ns_full=2372136960 (speedup=1.084x, subrow_gain=1.081x) [up_rows=14076682 down_rows=19767808 down_chunks_skip=1088297300 down_chunks_full=1265139712]
distributed span=8 no-stagger: up_ns=2920683720 (speedup=0.814x) down_ns_skip=2715512960 down_ns_full=2718470400 (speedup=0.876x, subrow_gain=1.001x) [up_rows=24339031 down_rows=22653920 down_chunks_skip=1446893440 down_chunks_full=1449850880]
distributed span=8 staggered: up_ns=2920683720 (speedup=0.814x) down_ns_skip=2359714960 down_ns_full=2378661600 (speedup=1.008x, subrow_gain=1.008x) [up_rows=24339031 down_rows=19822180 down_chunks_skip=1249672880 down_chunks_full=1268619520]
distributed span=8 staggered+clustered: up_ns=2920683720 (speedup=0.814x) down_ns_skip=2195294548 down_ns_full=2372136960 (speedup=1.084x, subrow_gain=1.081x) [up_rows=24339031 down_rows=19767808 down_chunks_skip=1088297300 down_chunks_full=1265139712]
