records=707936 n=14336 weight_bits=6 naive_up_ns=3564129960 naive_down_ns=3737902080 (naive_up_rows=29701083 naive_down_rows=31149184)
oracle: up_ns=934293600 (up_rows=7785780) down_ns=906925480 (down_rows=8315032 down_chunks=441283688)
per-token latency (config 'distributed span=4 staggered+clustered', 22123 tokens): P50=231568ns P95=245172ns P99=248784ns mean=230983ns
gpu@1008GB/s: dense_ns=61860391579 sparse_ideal_ns=14077953541 | pim_naive_ns=7302032040 pim_best_ns=5110051088 | pim_best vs gpu_dense=12.106x vs gpu_sparse=2.755x
async only (modulo, no remap): up_ns=2125773720 (speedup=1.677x) down_ns_skip=3596970444 down_ns_full=3737900640 (speedup=1.039x, subrow_gain=1.039x) [up_rows=17714781 down_rows=31149172 down_chunks_skip=1852616812 down_chunks_full=1993547008]
async + random remap: up_ns=2237813280 (speedup=1.593x) down_ns_skip=3596970444 down_ns_full=3737900640 (speedup=1.039x, subrow_gain=1.039x) [up_rows=18648444 down_rows=31149172 down_chunks_skip=1852616812 down_chunks_full=1993547008]
non-distributed async: up_ns=2002676760 (speedup=1.780x) down_ns_skip=3596970444 down_ns_full=3737900640 (speedup=1.039x, subrow_gain=1.039x) [up_rows=16688973 down_rows=31149172 down_chunks_skip=1852616812 down_chunks_full=1993547008]
non-distributed + down-clustered: up_ns=2002676760 (speedup=1.780x) down_ns_skip=3371383208 down_ns_full=3717100800 (speedup=1.109x, subrow_gain=1.103x) [up_rows=16688973 down_rows=30975840 down_chunks_skip=1636736168 down_chunks_full=1982453760]
distributed span=2 no-stagger: up_ns=2105572080 (speedup=1.693x) down_ns_skip=3875241656 down_ns_full=4077708480 (speedup=0.965x, subrow_gain=1.052x) [up_rows=17546434 down_rows=33980904 down_chunks_skip=1972311032 down_chunks_full=2174777856]
distributed span=2 staggered: up_ns=2105572080 (speedup=1.693x) down_ns_skip=3596970444 down_ns_full=3737900640 (speedup=1.039x, subrow_gain=1.039x) [up_rows=17546434 down_rows=31149172 down_chunks_skip=1852616812 down_chunks_full=1993547008]
distributed span=2 staggered+clustered: up_ns=2105572080 (speedup=1.693x) down_ns_skip=3371383208 down_ns_full=3717100800 (speedup=1.109x, subrow_gain=1.103x) [up_rows=17546434 down_rows=30975840 down_chunks_skip=1636736168 down_chunks_full=1982453760]
distributed span=4 no-stagger: up_ns=1738667880 (speedup=2.050x) down_ns_skip=4012015408 down_ns_full=4077711360 (speedup=0.932x, subrow_gain=1.016x) [up_rows=14488899 down_rows=33980928 down_chunks_skip=2109083440 down_chunks_full=2174779392]
distributed span=4 staggered: up_ns=1738667880 (speedup=2.050x) down_ns_skip=3596970444 down_ns_full=3737900640 (speedup=1.039x, subrow_gain=1.039x) [up_rows=14488899 down_rows=31149172 down_chunks_skip=1852616812 down_chunks_full=1993547008]
distributed span=4 staggered+clustered: up_ns=1738667880 (speedup=2.050x) down_ns_skip=3371383208 down_ns_full=3717100800 (speedup=1.109x, subrow_gain=1.103x) [up_rows=14488899 down_rows=30975840 down_chunks_skip=1636736168 down_chunks_full=1982453760]
distributed span=8 no-stagger: up_ns=2999989680 (speedup=1.188x) down_ns_skip=5368825376 down_ns_full=5436948480 (speedup=0.696x, subrow_gain=1.013x) [up_rows=24999914 down_rows=45307904 down_chunks_skip=2831582752 down_chunks_full=2899705856]
distributed span=8 staggered: up_ns=2999989680 (speedup=1.188x) down_ns_skip=3596970444 down_ns_full=3737900640 (speedup=1.039x, subrow_gain=1.039x) [up_rows=24999914 down_rows=31149172 down_chunks_skip=1852616812 down_chunks_full=1993547008]
distributed span=8 staggered+clustered: up_ns=2999989680 (speedup=1.188x) down_ns_skip=3371383208 down_ns_full=3717100800 (speedup=1.109x, subrow_gain=1.103x) [up_rows=24999914 down_rows=30975840 down_chunks_skip=1636736168 down_chunks_full=1982453760]
