records=729664 n=11008 weight_bits=6 naive_up_ns=2486328480 naive_down_ns=3152148480 (naive_up_rows=20719404 naive_down_rows=26267904)
oracle: up_ns=419198040 (up_rows=3493317) down_ns=367355964 (down_rows=3976992 down_chunks=144644412)
per-token latency (config 'distributed span=4 staggered+clustered', 22802 tokens): P50=126596ns P95=187320ns P99=199288ns mean=128247ns
gpu@1008GB/s: dense_ns=48957813690 sparse_ideal_ns=4583642632 | pim_naive_ns=5638476960 pim_best_ns=2924309672 | pim_best vs gpu_dense=16.742x vs gpu_sparse=1.567x
async only (modulo, no remap): up_ns=1185665400 (speedup=2.097x) down_ns_skip=2464498656 down_ns_full=3066725280 (speedup=1.279x, subrow_gain=1.244x) [up_rows=9880545 down_rows=25556044 down_chunks_skip=1033360192 down_chunks_full=1635586816]
async + random remap: up_ns=1186641000 (speedup=2.095x) down_ns_skip=2464498656 down_ns_full=3066725280 (speedup=1.279x, subrow_gain=1.244x) [up_rows=9888675 down_rows=25556044 down_chunks_skip=1033360192 down_chunks_full=1635586816]
non-distributed async: up_ns=1102931280 (speedup=2.254x) down_ns_skip=2464498656 down_ns_full=3066725280 (speedup=1.279x, subrow_gain=1.244x) [up_rows=9191094 down_rows=25556044 down_chunks_skip=1033360192 down_chunks_full=1635586816]
non-distributed + down-clustered: up_ns=1102931280 (speedup=2.254x) down_ns_skip=2139069872 down_ns_full=2775625440 (speedup=1.474x, subrow_gain=1.298x) [up_rows=9191094 down_rows=23130212 down_chunks_skip=843778000 down_chunks_full=1480333568]
distributed span=2 no-stagger: up_ns=1048540800 (speedup=2.371x) down_ns_skip=2649226592 down_ns_full=3408130560 (speedup=1.190x, subrow_gain=1.286x) [up_rows=8737840 down_rows=28401088 down_chunks_skip=1058765664 down_chunks_full=1817669632]
distributed span=2 staggered: up_ns=1048540800 (speedup=2.371x) down_ns_skip=2464498656 down_ns_full=3066725280 (speedup=1.279x, subrow_gain=1.244x) [up_rows=8737840 down_rows=25556044 down_chunks_skip=1033360192 down_chunks_full=1635586816]
distributed span=2 staggered+clustered: up_ns=1048540800 (speedup=2.371x) down_ns_skip=2139069872 down_ns_full=2775625440 (speedup=1.474x, subrow_gain=1.298x) [up_rows=8737840 down_rows=23130212 down_chunks_skip=843778000 down_chunks_full=1480333568]
distributed span=4 no-stagger: up_ns=785239800 (speedup=3.166x) down_ns_skip=3010938864 down_ns_full=4075741440 (speedup=1.047x, subrow_gain=1.354x) [up_rows=6543665 down_rows=33964512 down_chunks_skip=1108926192 down_chunks_full=2173728768]
distributed span=4 staggered: up_ns=785239800 (speedup=3.166x) down_ns_skip=2464498656 down_ns_full=3066725280 (speedup=1.279x, subrow_gain=1.244x) [up_rows=6543665 down_rows=25556044 down_chunks_skip=1033360192 down_chunks_full=1635586816]
distributed span=4 staggered+clustered: up_ns=785239800 (speedup=3.166x) down_ns_skip=2139069872 down_ns_full=2775625440 (speedup=1.474x, subrow_gain=1.298x) [up_rows=6543665 down_rows=23130212 down_chunks_skip=843778000 down_chunks_full=1480333568]
distributed span=8 no-stagger: up_ns=1242686040 (speedup=2.001x) down_ns_skip=3722026912 down_ns_full=5387915520 (speedup=0.847x, subrow_gain=1.448x) [up_rows=10355717 down_rows=44899296 down_chunks_skip=1207666336 down_chunks_full=2873554944]
distributed span=8 staggered: up_ns=1242686040 (speedup=2.001x) down_ns_skip=2464498656 down_ns_full=3066725280 (speedup=1.279x, subrow_gain=1.244x) [up_rows=10355717 down_rows=25556044 down_chunks_skip=1033360192 down_chunks_full=1635586816]
distributed span=8 staggered+clustered: up_ns=1242686040 (speedup=2.001x) down_ns_skip=2139069872 down_ns_full=2775625440 (speedup=1.474x, subrow_gain=1.298x) [up_rows=10355717 down_rows=23130212 down_chunks_skip=843778000 down_chunks_full=1480333568]
