records=729664 n=11008 weight_bits=6 naive_up_ns=2889461880 naive_down_ns=3152148480 (naive_up_rows=24078849 naive_down_rows=26267904)
oracle: up_ns=739772640 (up_rows=6164772) down_ns=660260344 (down_rows=6120948 down_chunks=317487256)
per-token latency (config 'distributed span=4 staggered+clustered', 22802 tokens): P50=188688ns P95=195748ns P99=200324ns mean=188529ns
gpu@1008GB/s: dense_ns=48957813690 sparse_ideal_ns=10115154569 | pim_naive_ns=6041610360 pim_best_ns=4298850656 | pim_best vs gpu_dense=11.389x vs gpu_sparse=2.353x
async only (modulo, no remap): up_ns=1865323800 (speedup=1.549x) down_ns_skip=2986356336 down_ns_full=3152148000 (speedup=1.056x, subrow_gain=1.056x) [up_rows=15544365 down_rows=26267900 down_chunks_skip=1515353936 down_chunks_full=1681145600]
async + random remap: up_ns=1867320720 (speedup=1.547x) down_ns_skip=2986356336 down_ns_full=3152148000 (speedup=1.056x, subrow_gain=1.056x) [up_rows=15561006 down_rows=26267900 down_chunks_skip=1515353936 down_chunks_full=1681145600]
non-distributed async: up_ns=1770657120 (speedup=1.632x) down_ns_skip=2986356336 down_ns_full=3152148000 (speedup=1.056x, subrow_gain=1.056x) [up_rows=14755476 down_rows=26267900 down_chunks_skip=1515353936 down_chunks_full=1681145600]
non-distributed + down-clustered: up_ns=1770657120 (speedup=1.632x) down_ns_skip=2866590896 down_ns_full=3127961760 (speedup=1.100x, subrow_gain=1.091x) [up_rows=14755476 down_rows=26066348 down_chunks_skip=1406875408 down_chunks_full=1668246272]
distributed span=2 no-stagger: up_ns=1800528480 (speedup=1.605x) down_ns_skip=3186293184 down_ns_full=3502386240 (speedup=0.989x, subrow_gain=1.099x) [up_rows=15004404 down_rows=29186552 down_chunks_skip=1551846272 down_chunks_full=1867939328]
distributed span=2 staggered: up_ns=1800528480 (speedup=1.605x) down_ns_skip=2986356336 down_ns_full=3152148000 (speedup=1.056x, subrow_gain=1.056x) [up_rows=15004404 down_rows=26267900 down_chunks_skip=1515353936 down_chunks_full=1681145600]
distributed span=2 staggered+clustered: up_ns=1800528480 (speedup=1.605x) down_ns_skip=2866590896 down_ns_full=3127961760 (speedup=1.100x, subrow_gain=1.091x) [up_rows=15004404 down_rows=26066348 down_chunks_skip=1406875408 down_chunks_full=1668246272]
distributed span=4 no-stagger: up_ns=1432259760 (speedup=2.017x) down_ns_skip=3586122048 down_ns_full=4202862720 (speedup=0.879x, subrow_gain=1.172x) [up_rows=11935498 down_rows=35023856 down_chunks_skip=1624786112 down_chunks_full=2241526784]
distributed span=4 staggered: up_ns=1432259760 (speedup=2.017x) down_ns_skip=2986356336 down_ns_full=3152148000 (speedup=1.056x, subrow_gain=1.056x) [up_rows=11935498 down_rows=26267900 down_chunks_skip=1515353936 down_chunks_full=1681145600]
distributed span=4 staggered+clustered: up_ns=1432259760 (speedup=2.017x) down_ns_skip=2866590896 down_ns_full=3127961760 (speedup=1.100x, subrow_gain=1.091x) [up_rows=11935498 down_rows=26066348 down_chunks_skip=1406875408 down_chunks_full=1668246272]
distributed span=8 no-stagger: up_ns=2388073920 (speedup=1.210x) down_ns_skip=4386480896 down_ns_full=5603815680 (speedup=0.719x, subrow_gain=1.278x) [up_rows=19900616 down_rows=46698464 down_chunks_skip=1771366912 down_chunks_full=2988701696]
distributed span=8 staggered: up_ns=2388073920 (speedup=1.210x) down_ns_skip=2986356336 down_ns_full=3152148000 (speedup=1.056x, subrow_gain=1.056x) [up_rows=19900616 down_rows=26267900 down_chunks_skip=1515353936 down_chunks_full=1681145600]
distributed span=8 staggered+clustered: up_ns=2388073920 (speedup=1.210x) down_ns_skip=2866590896 down_ns_full=3127961760 (speedup=1.100x, subrow_gain=1.091x) [up_rows=19900616 down_rows=26066348 down_chunks_skip=1406875408 down_chunks_full=1668246272]
