records=707936 n=14336 data_width=1 naive_up_ns=4752173280 naive_down_ns=4757329920 (naive_up_rows=39601444 naive_down_rows=39644416)
oracle: up_ns=1245724800 (up_rows=10381040) down_ns=1160080852 (down_rows=10381040 down_chunks=578742612)
per-token latency (config 'distributed span=4 staggered+clustered', 22123 tokens): P50=271688ns P95=288232ns P99=292560ns mean=270930ns
gpu@1008GB/s: dense_ns=82480522109 sparse_ideal_ns=18770604726 | pim_naive_ns=9509503200 pim_best_ns=5993790992 | pim_best vs gpu_dense=13.761x vs gpu_sparse=3.132x
async only (modulo, no remap): up_ns=2834364960 (speedup=1.677x) down_ns_skip=4569913936 down_ns_full=4757327040 (speedup=1.041x, subrow_gain=1.041x) [up_rows=23619708 down_rows=39644392 down_chunks_skip=2349827984 down_chunks_full=2537241088]
async + random remap: up_ns=2983751040 (speedup=1.593x) down_ns_skip=4569913936 down_ns_full=4757327040 (speedup=1.041x, subrow_gain=1.041x) [up_rows=24864592 down_rows=39644392 down_chunks_skip=2349827984 down_chunks_full=2537241088]
non-distributed async: up_ns=2670235680 (speedup=1.780x) down_ns_skip=4569913936 down_ns_full=4757327040 (speedup=1.041x, subrow_gain=1.041x) [up_rows=22251964 down_rows=39644392 down_chunks_skip=2349827984 down_chunks_full=2537241088]
non-distributed + down-clustered: up_ns=2670235680 (speedup=1.780x) down_ns_skip=4255123112 down_ns_full=4735354560 (speedup=1.118x, subrow_gain=1.113x) [up_rows=22251964 down_rows=39461288 down_chunks_skip=2045290984 down_chunks_full=2525522432]
distributed span=2 no-stagger: up_ns=2105572080 (speedup=2.257x) down_ns_skip=4588435848 down_ns_full=4757329920 (speedup=1.037x, subrow_gain=1.037x) [up_rows=17546434 down_rows=39644416 down_chunks_skip=2368348552 down_chunks_full=2537242624]
distributed span=2 staggered: up_ns=2105572080 (speedup=2.257x) down_ns_skip=4569913936 down_ns_full=4757327040 (speedup=1.041x, subrow_gain=1.041x) [up_rows=17546434 down_rows=39644392 down_chunks_skip=2349827984 down_chunks_full=2537241088]
distributed span=2 staggered+clustered: up_ns=2105572080 (speedup=2.257x) down_ns_skip=4255123112 down_ns_full=4735354560 (speedup=1.118x, subrow_gain=1.113x) [up_rows=17546434 down_rows=39461288 down_chunks_skip=2045290984 down_chunks_full=2525522432]
distributed span=4 no-stagger: up_ns=1738667880 (speedup=2.733x) down_ns_skip=5266006736 down_ns_full=5436948480 (speedup=0.903x, subrow_gain=1.032x) [up_rows=14488899 down_rows=45307904 down_chunks_skip=2728764112 down_chunks_full=2899705856]
distributed span=4 staggered: up_ns=1738667880 (speedup=2.733x) down_ns_skip=4569913936 down_ns_full=4757327040 (speedup=1.041x, subrow_gain=1.041x) [up_rows=14488899 down_rows=39644392 down_chunks_skip=2349827984 down_chunks_full=2537241088]
distributed span=4 staggered+clustered: up_ns=1738667880 (speedup=2.733x) down_ns_skip=4255123112 down_ns_full=4735354560 (speedup=1.118x, subrow_gain=1.113x) [up_rows=14488899 down_rows=39461288 down_chunks_skip=2045290984 down_chunks_full=2525522432]
distributed span=8 no-stagger: up_ns=2999989680 (speedup=1.584x) down_ns_skip=5331154016 down_ns_full=5436948480 (speedup=0.892x, subrow_gain=1.020x) [up_rows=24999914 down_rows=45307904 down_chunks_skip=2793911392 down_chunks_full=2899705856]
distributed span=8 staggered: up_ns=2999989680 (speedup=1.584x) down_ns_skip=4569913936 down_ns_full=4757327040 (speedup=1.041x, subrow_gain=1.041x) [up_rows=24999914 down_rows=39644392 down_chunks_skip=2349827984 down_chunks_full=2537241088]
distributed span=8 staggered+clustered: up_ns=2999989680 (speedup=1.584x) down_ns_skip=4255123112 down_ns_full=4735354560 (speedup=1.118x, subrow_gain=1.113x) [up_rows=24999914 down_rows=39461288 down_chunks_skip=2045290984 down_chunks_full=2525522432]
