records=707936 n=14336 data_width=1 naive_up_ns=4755790080 naive_down_ns=4757329920 (naive_up_rows=39631584 naive_down_rows=39644416)
oracle: up_ns=1221062400 (up_rows=10175520) down_ns=1134016720 (down_rows=10175520 down_chunks=564187600)
per-token latency (config 'distributed span=4 staggered+clustered', 22123 tokens): P50=263436ns P95=281552ns P99=287996ns mean=263613ns
gpu@1008GB/s: dense_ns=82480522109 sparse_ideal_ns=18297407563 | pim_naive_ns=9513120000 pim_best_ns=5831918376 | pim_best vs gpu_dense=14.143x vs gpu_sparse=3.137x
async only (modulo, no remap): up_ns=2798013120 (speedup=1.700x) down_ns_skip=4561462300 down_ns_full=4757322720 (speedup=1.043x, subrow_gain=1.043x) [up_rows=23316776 down_rows=39644356 down_chunks_skip=2341378364 down_chunks_full=2537238784]
async + random remap: up_ns=2945558880 (speedup=1.615x) down_ns_skip=4561462300 down_ns_full=4757322720 (speedup=1.043x, subrow_gain=1.043x) [up_rows=24546324 down_rows=39644356 down_chunks_skip=2341378364 down_chunks_full=2537238784]
non-distributed async: up_ns=2588925600 (speedup=1.837x) down_ns_skip=4561462300 down_ns_full=4757322720 (speedup=1.043x, subrow_gain=1.043x) [up_rows=21574380 down_rows=39644356 down_chunks_skip=2341378364 down_chunks_full=2537238784]
non-distributed + down-clustered: up_ns=2588925600 (speedup=1.837x) down_ns_skip=4142716536 down_ns_full=4717493760 (speedup=1.148x, subrow_gain=1.139x) [up_rows=21574380 down_rows=39312448 down_chunks_skip=1941219448 down_chunks_full=2515996672]
distributed span=2 no-stagger: up_ns=2044732080 (speedup=2.326x) down_ns_skip=4579324216 down_ns_full=4757323200 (speedup=1.039x, subrow_gain=1.039x) [up_rows=17039434 down_rows=39644360 down_chunks_skip=2359240056 down_chunks_full=2537239040]
distributed span=2 staggered: up_ns=2044732080 (speedup=2.326x) down_ns_skip=4561462300 down_ns_full=4757322720 (speedup=1.043x, subrow_gain=1.043x) [up_rows=17039434 down_rows=39644356 down_chunks_skip=2341378364 down_chunks_full=2537238784]
distributed span=2 staggered+clustered: up_ns=2044732080 (speedup=2.326x) down_ns_skip=4142716536 down_ns_full=4717493760 (speedup=1.148x, subrow_gain=1.139x) [up_rows=17039434 down_rows=39312448 down_chunks_skip=1941219448 down_chunks_full=2515996672]
distributed span=4 no-stagger: up_ns=1689201840 (speedup=2.815x) down_ns_skip=5257945328 down_ns_full=5436940800 (speedup=0.905x, subrow_gain=1.034x) [up_rows=14076682 down_rows=45307840 down_chunks_skip=2720706288 down_chunks_full=2899701760]
distributed span=4 staggered: up_ns=1689201840 (speedup=2.815x) down_ns_skip=4561462300 down_ns_full=4757322720 (speedup=1.043x, subrow_gain=1.043x) [up_rows=14076682 down_rows=39644356 down_chunks_skip=2341378364 down_chunks_full=2537238784]
distributed span=4 staggered+clustered: up_ns=1689201840 (speedup=2.815x) down_ns_skip=4142716536 down_ns_full=4717493760 (speedup=1.148x, subrow_gain=1.139x) [up_rows=14076682 down_rows=39312448 down_chunks_skip=1941219448 down_chunks_full=2515996672]
distributed span=8 no-stagger: up_ns=2920683720 (speedup=1.628x) down_ns_skip=5323753984 down_ns_full=5436940800 (speedup=0.894x, subrow_gain=1.021x) [up_rows=24339031 down_rows=45307840 down_chunks_skip=2786514944 down_chunks_full=2899701760]
distributed span=8 staggered: up_ns=2920683720 (speedup=1.628x) down_ns_skip=4561462300 down_ns_full=4757322720 (speedup=1.043x, subrow_gain=1.043x) [up_rows=24339031 down_rows=39644356 down_chunks_skip=2341378364 down_chunks_full=2537238784]
distributed span=8 staggered+clustered: up_ns=2920683720 (speedup=1.628x) down_ns_skip=4142716536 down_ns_full=4717493760 (speedup=1.148x, subrow_gain=1.139x) [up_rows=24339031 down_rows=39312448 down_chunks_skip=1941219448 down_chunks_full=2515996672]
