records=729664 n=11008 data_width=1 naive_up_ns=3315104640 naive_down_ns=3852625920 (naive_up_rows=27625872 naive_down_rows=32105216)
oracle: up_ns=558930720 (up_rows=4657756) down_ns=450216152 (down_rows=4657756 down_chunks=189381816)
per-token latency (config 'distributed span=4 staggered+clustered', 22802 tokens): P50=149532ns P95=218688ns P99=231940ns mean=150745ns
gpu@1008GB/s: dense_ns=65277084923 sparse_ideal_ns=6111523513 | pim_naive_ns=7167730560 pim_best_ns=3437303552 | pim_best vs gpu_dense=18.991x vs gpu_sparse=1.778x
async only (modulo, no remap): up_ns=1580887200 (speedup=2.097x) down_ns_skip=2988728400 down_ns_full=3744025920 (speedup=1.289x, subrow_gain=1.253x) [up_rows=13174060 down_rows=31200216 down_chunks_skip=1241516304 down_chunks_full=1996813824]
async + random remap: up_ns=1582188000 (speedup=2.095x) down_ns_skip=2988728400 down_ns_full=3744025920 (speedup=1.289x, subrow_gain=1.253x) [up_rows=13184900 down_rows=31200216 down_chunks_skip=1241516304 down_chunks_full=1996813824]
non-distributed async: up_ns=1470575040 (speedup=2.254x) down_ns_skip=2988728400 down_ns_full=3744025920 (speedup=1.289x, subrow_gain=1.253x) [up_rows=12254792 down_rows=31200216 down_chunks_skip=1241516304 down_chunks_full=1996813824]
non-distributed + down-clustered: up_ns=1470575040 (speedup=2.254x) down_ns_skip=2652063752 down_ns_full=3517200960 (speedup=1.453x, subrow_gain=1.326x) [up_rows=12254792 down_rows=29310008 down_chunks_skip=1010703304 down_chunks_full=1875840512]
distributed span=2 no-stagger: up_ns=1048540800 (speedup=3.162x) down_ns_skip=3244831984 down_ns_full=4101892800 (speedup=1.187x, subrow_gain=1.264x) [up_rows=8737840 down_rows=34182440 down_chunks_skip=1330615344 down_chunks_full=2187676160]
distributed span=2 staggered: up_ns=1048540800 (speedup=3.162x) down_ns_skip=2988728400 down_ns_full=3744025920 (speedup=1.289x, subrow_gain=1.253x) [up_rows=8737840 down_rows=31200216 down_chunks_skip=1241516304 down_chunks_full=1996813824]
distributed span=2 staggered+clustered: up_ns=1048540800 (speedup=3.162x) down_ns_skip=2652063752 down_ns_full=3517200960 (speedup=1.453x, subrow_gain=1.326x) [up_rows=8737840 down_rows=29310008 down_chunks_skip=1010703304 down_chunks_full=1875840512]
distributed span=4 no-stagger: up_ns=785239800 (speedup=4.222x) down_ns_skip=3353180512 down_ns_full=4146117120 (speedup=1.149x, subrow_gain=1.236x) [up_rows=6543665 down_rows=34550976 down_chunks_skip=1418325856 down_chunks_full=2211262464]
distributed span=4 staggered: up_ns=785239800 (speedup=4.222x) down_ns_skip=2988728400 down_ns_full=3744025920 (speedup=1.289x, subrow_gain=1.253x) [up_rows=6543665 down_rows=31200216 down_chunks_skip=1241516304 down_chunks_full=1996813824]
distributed span=4 staggered+clustered: up_ns=785239800 (speedup=4.222x) down_ns_skip=2652063752 down_ns_full=3517200960 (speedup=1.453x, subrow_gain=1.326x) [up_rows=6543665 down_rows=29310008 down_chunks_skip=1010703304 down_chunks_full=1875840512]
distributed span=8 no-stagger: up_ns=1242686040 (speedup=2.668x) down_ns_skip=4482520800 down_ns_full=5540382720 (speedup=0.859x, subrow_gain=1.236x) [up_rows=10355717 down_rows=46169856 down_chunks_skip=1897008864 down_chunks_full=2954870784]
distributed span=8 staggered: up_ns=1242686040 (speedup=2.668x) down_ns_skip=2988728400 down_ns_full=3744025920 (speedup=1.289x, subrow_gain=1.253x) [up_rows=10355717 down_rows=31200216 down_chunks_skip=1241516304 down_chunks_full=1996813824]
distributed span=8 staggered+clustered: up_ns=1242686040 (speedup=2.668x) down_ns_skip=2652063752 down_ns_full=3517200960 (speedup=1.453x, subrow_gain=1.326x) [up_rows=10355717 down_rows=29310008 down_chunks_skip=1010703304 down_chunks_full=1875840512]
