records=729664 n=11008 data_width=1 naive_up_ns=3852615840 naive_down_ns=3852625920 (naive_up_rows=32105132 naive_down_rows=32105216)
oracle: up_ns=986363520 (up_rows=8219696) down_ns=876547924 (down_rows=8219696 down_chunks=416244948)
per-token latency (config 'distributed span=4 staggered+clustered', 22802 tokens): P50=219644ns P95=227704ns P99=232808ns mean=219518ns
gpu@1008GB/s: dense_ns=65277084923 sparse_ideal_ns=13486872768 | pim_naive_ns=7705241760 pim_best_ns=5005462376 | pim_best vs gpu_dense=13.041x vs gpu_sparse=2.694x
async only (modulo, no remap): up_ns=2487098400 (speedup=1.549x) down_ns_skip=3747321584 down_ns_full=3852625920 (speedup=1.028x, subrow_gain=1.028x) [up_rows=20725820 down_rows=32105216 down_chunks_skip=1949429488 down_chunks_full=2054733824]
async + random remap: up_ns=2489760960 (speedup=1.547x) down_ns_skip=3747321584 down_ns_full=3852625920 (speedup=1.028x, subrow_gain=1.028x) [up_rows=20748008 down_rows=32105216 down_chunks_skip=1949429488 down_chunks_full=2054733824]
non-distributed async: up_ns=2360876160 (speedup=1.632x) down_ns_skip=3747321584 down_ns_full=3852625920 (speedup=1.028x, subrow_gain=1.028x) [up_rows=19673968 down_rows=32105216 down_chunks_skip=1949429488 down_chunks_full=2054733824]
non-distributed + down-clustered: up_ns=2360876160 (speedup=1.632x) down_ns_skip=3573202616 down_ns_full=3851291520 (speedup=1.078x, subrow_gain=1.078x) [up_rows=19673968 down_rows=32094096 down_chunks_skip=1775933240 down_chunks_full=2054022144]
distributed span=2 no-stagger: up_ns=1800528480 (speedup=2.140x) down_ns_skip=4047437752 down_ns_full=4202864640 (speedup=0.952x, subrow_gain=1.038x) [up_rows=15004404 down_rows=35023872 down_chunks_skip=2086100920 down_chunks_full=2241527808]
distributed span=2 staggered: up_ns=1800528480 (speedup=2.140x) down_ns_skip=3747321584 down_ns_full=3852625920 (speedup=1.028x, subrow_gain=1.028x) [up_rows=15004404 down_rows=32105216 down_chunks_skip=1949429488 down_chunks_full=2054733824]
distributed span=2 staggered+clustered: up_ns=1800528480 (speedup=2.140x) down_ns_skip=3573202616 down_ns_full=3851291520 (speedup=1.078x, subrow_gain=1.078x) [up_rows=15004404 down_rows=32094096 down_chunks_skip=1775933240 down_chunks_full=2054022144]
distributed span=4 no-stagger: up_ns=1432259760 (speedup=2.690x) down_ns_skip=4151644432 down_ns_full=4202864640 (speedup=0.928x, subrow_gain=1.012x) [up_rows=11935498 down_rows=35023872 down_chunks_skip=2190307600 down_chunks_full=2241527808]
distributed span=4 staggered: up_ns=1432259760 (speedup=2.690x) down_ns_skip=3747321584 down_ns_full=3852625920 (speedup=1.028x, subrow_gain=1.028x) [up_rows=11935498 down_rows=32105216 down_chunks_skip=1949429488 down_chunks_full=2054733824]
distributed span=4 staggered+clustered: up_ns=1432259760 (speedup=2.690x) down_ns_skip=3573202616 down_ns_full=3851291520 (speedup=1.078x, subrow_gain=1.078x) [up_rows=11935498 down_rows=32094096 down_chunks_skip=1775933240 down_chunks_full=2054022144]
distributed span=8 no-stagger: up_ns=2388073920 (speedup=1.613x) down_ns_skip=5539553664 down_ns_full=5603819520 (speedup=0.695x, subrow_gain=1.012x) [up_rows=19900616 down_rows=46698496 down_chunks_skip=2924437888 down_chunks_full=2988703744]
distributed span=8 staggered: up_ns=2388073920 (speedup=1.613x) down_ns_skip=3747321584 down_ns_full=3852625920 (speedup=1.028x, subrow_gain=1.028x) [up_rows=19900616 down_rows=32105216 down_chunks_skip=1949429488 down_chunks_full=2054733824]
distributed span=8 staggered+clustered: up_ns=2388073920 (speedup=1.613x) down_ns_skip=3573202616 down_ns_full=3851291520 (speedup=1.078x, subrow_gain=1.078x) [up_rows=19900616 down_rows=32094096 down_chunks_skip=1775933240 down_chunks_full=2054022144]
